ZIP,pop_density,urban
3279,16.80825,False
3280,24.29265,False
3281,150.9771,False
3282,22.66304,False
3284,26.49798,False
3285,41.93446,False
3287,54.19678,False
3290,104.7858,False
3291,143.8391,False
3293,52.39297,False
3301,650.753,False
3303,237.8837,False
3304,272.7217,False
3307,107.7429,False
3431,428.5783,False
3440,73.8503,False
3441,154.4915,False
3442,127.9403,False
3443,77.49124,False
3444,55.90968,False
3445,33.59201,False
3446,143.822,False
3447,71.59613,False
3448,34.49163,False
3449,58.55501,False
3450,50.211,False
3451,187.3182,False
3452,140.1907,False
3455,76.59151,False
3456,29.44514,False
3457,29.19576,False
3458,126.9448,False
3461,158.8995,False
3462,86.01402,False
3464,22.63884,False
3465,133.4591,False
3466,70.3619,False
3467,53.00347,False
3470,53.51372,False
3561,116.6186,False
3570,90.75446,False
3574,28.15685,False
3575,4.535141,False
3576,21.98548,False
3579,0.8445977,False
3580,14.28034,False
3581,20.68343,False
3582,29.82534,False
3583,18.53306,False
3584,63.28584,False
3585,32.77286,False
3586,38.94086,False
3588,11.6802,False
3590,8.357111,False
3592,3.339049,False
3593,3.972816,False
3595,22.31754,False
3597,7.001233,False
3598,50.4346,False
3601,27.49782,False
3602,47.82038,False
3603,124.713,False
3604,777.4188,False
3605,30.18116,False
3607,24.66621,False
3608,68.02016,False
3609,1157.829,True
3740,20.71114,False
3741,54.33502,False
3743,225.0302,False
3745,41.46103,False
3746,30.87304,False
3748,106.9203,False
3750,94.74491,False
3751,193.9836,False
3752,34.2482,False
3753,109.3795,False
3754,5313.01,True
3755,286.2527,False
3765,107.0899,False
3766,299.7231,False
3768,31.87456,False
3770,133.7792,False
3771,40.82303,False
3773,81.85825,False
3774,66.24313,False
3777,33.26992,False
3779,19.39243,False
3780,25.70391,False
3781,36.29709,False
3782,139.7142,False
3784,468.3345,False
3785,47.16247,False
3801,930.2004,False
3809,91.82223,False
3810,68.92591,False
3811,610.0481,False
3812,10.35279,False
3813,31.90713,False
3814,74.96803,False
3816,43.61019,False
3817,48.90445,False
3818,43.57795,False
3819,379.4983,False
3820,1100.443,True
3823,172.8243,False
3824,700.1868,False
3825,188.5577,False
3826,838.523,False
3827,189.3623,False
3830,149.3511,False
3832,13.15856,False
3833,436.7546,False
3835,183.3778,False
3836,36.75875,False
3837,85.97404,False
3838,38.50093,False
3839,468.0452,False
3840,373.589,False
3841,584.7522,False
3842,1182.13,True
3844,188.3817,False
3845,100.112,False
3846,13.9206,False
3847,332.2639,False
3848,309.3077,False
3849,53.77717,False
3850,92.72817,False
3851,148.2157,False
3852,103.3365,False
3853,79.77432,False
3854,1180.3,True
3855,63.90961,False
3856,228.0365,False
3857,709.3484,False
3858,479.6123,False
3860,212.8707,False
3861,218.6495,False
3862,314.1588,False
3864,46.06357,False
3865,714.5439,False
3867,693.1948,False
3868,703.8785,False
3869,347.2615,False
3870,434.9833,False
3871,83.99624,False
3872,76.19118,False
3873,450.2861,False
3874,988.9377,False
3875,84.26041,False
3878,1184.858,True
3882,35.60471,False
3883,9.982068,False
3884,83.30692,False
3885,472.5413,False
3886,57.17615,False
3887,100.9922,False
3890,70.55064,False
3894,127.7001,False
3901,198.0549,False
3902,117.6888,False
3903,317.1787,False
3904,711.1055,False
3905,247.8627,False
3906,121.8294,False
3907,327.0478,False
3908,227.317,False
3909,287.0912,False
3910,1285.411,True
3911,299.0702,False
4001,70.07146,False
4002,112.5462,False
4003,406.1721,False
4005,482.1037,False
4006,2247.722,True
4008,78.82319,False
4009,93.09264,False
4010,28.85124,False
4011,436.1082,False
4015,122.3567,False
4017,132.1582,False
4019,0.0,False
4020,59.25418,False
4021,291.3152,False
4022,25.54047,False
4024,38.49697,False
4027,110.7964,False
4029,50.23558,False
4030,166.8277,False
4032,234.1794,False
4037,45.74305,False
4038,332.583,False
4039,188.4406,False
4040,51.50563,False
4041,47.7589,False
4042,136.7247,False
4043,313.245,False
4046,172.6016,False
4047,27.84995,False
4048,104.4575,False
4049,90.6688,False
4050,160.7952,False
4051,24.35158,False
4055,122.9097,False
4056,61.17198,False
4057,870.9501,False
4061,132.9961,False
4062,371.6779,False
4063,653.5276,False
4064,1220.98,True
4066,308.5794,False
4068,54.63437,False
4069,68.60827,False
4071,130.5708,False
4072,490.6984,False
4073,440.4077,False
4074,404.0945,False
4076,69.15754,False
4079,178.5443,False
4083,435.3104,False
4084,173.6604,False
4085,154.1352,False
4086,271.2324,False
4087,124.33,False
4088,30.26583,False
4090,171.1815,False
4091,41.73238,False
4092,1035.935,True
4093,200.0313,False
4095,41.46147,False
4096,634.1281,False
4097,173.177,False
4101,8612.557,True
4102,3006.304,True
4103,2996.734,True
4105,395.5179,False
4106,2093.334,True
4107,622.4341,False
4108,778.3024,False
4109,91.44926,False
4110,642.4496,False
4210,386.5519,False
4216,2.557589,False
4217,15.64309,False
4219,28.10252,False
4220,40.43095,False
4221,29.89271,False
4222,101.9326,False
4224,38.12339,False
4226,19.19927,False
4227,109.5766,False
4228,818.5664,False
4231,9.334203,False
4234,448.5742,False
