zip,qualified,kw_total
18433,1694,21350.5
18434,1727,31986
18436,2,8.5
18444,23,513.75
18447,3862,60359.5
18452,2042,30951
18503,268,21172.25
18504,7553,111603.5
18505,6612,108286.75
18507,2206,54325
18508,3832,73807.25
18509,3680,69910.25
18510,2959,40665.5
18512,5194,107831.25
18515,6,35.25
18517,1827,43177
18518,3626,60442.25
18519,2191,43729.75
18603,5533,102224.25
18612,2882,53258.25
18621,19,118.75
18631,287,3606.75
18634,4368,50554
18635,894,12584.5
18640,6292,140604.75
18641,2675,29727.75
18642,1817,28346.25
18643,4189,74998.75
18644,3216,42765.25
18651,3476,36259.75
18660,1,2.5
18701,554,23479.75
18702,11982,205327
18704,11586,155529.5
18705,6018,83181
18706,5903,130179
18707,21,209.75
18708,2909,34494
18709,1177,11803.75
18711,37,2868
18901,3872,67847.75
18902,9,99.25
18914,6267,106349
18915,454,16902.75
18925,2464,33224.25
18927,3,19
18929,2817,40290.75
18932,190,2589.75
18936,330,43073
18938,949,15556.5
18940,9028,152457.75
18951,69,1118.75
18954,3235,49138.5
18964,2222,55079.75
18966,10635,175644
18969,210,3469.75
18974,12023,278656.75
18976,5820,116592.25
18977,1227,18614.75
19001,4998,51493.25
19002,9935,154569.5
19003,2806,32553
19004,2000,30920
19006,6337,131486.25
19007,5253,150262.5
19008,5994,84316
19009,132,1713.75
19010,3767,62258.75
19012,1608,16338
19013,5809,104428.5
19014,6225,129006.75
19015,3888,47409.75
19017,23,217
19018,4517,52471.5
19020,12025,324278.5
19021,2824,50765.5
19022,707,34542
19023,3413,29738.25
19025,1383,23297
19026,6306,51226
19027,3725,51374.25
19029,1247,19443
19030,3812,105381.25
19031,1556,23566
19032,1185,35600.75
19033,2095,22267.75
19034,1802,58898
19035,1045,14336.25
19036,2522,26090.5
19038,8332,91902
19040,6444,97506.75
19041,1134,17028.5
19043,779,12387.25
19044,4072,119903.25
19046,4642,64098.25
19047,9301,208154
19050,5425,57598.75
19053,7552,130548.75
19054,4969,78617.75
19055,4005,52102.5
19056,3823,68213
19057,4727,105598
19060,3056,45319.75
19061,5041,85339.25
19063,7290,118125.75
19064,6514,77532
19066,990,10464.25
19067,12918,236886.25
19070,1901,21416.5
19072,1872,22284
19073,4493,79162
19074,1506,11865
19075,2118,21505.75
19076,1460,14859
19078,2605,32040.75
19079,1944,36213.5
19081,1839,20734.5
19082,5331,47957
19083,9525,79770.75
19085,1406,20880.25
19086,2201,25017.25
19087,5877,124580.75
19089,8,1764.25
